,STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,CRIMINAL CASES,CATEGORY,EDUCATION,ASSETS,LIABILITIES,WINNER,AGE,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,TOTAL ELECTORS,GENDER
554,Rajasthan,CHURU,BALWAN POONIA,CPI(M),"Hammer, Sickle and Star",12,GENERAL,Graduate Professional,3668789,1415622,0.0,41.0,24892.0,198.0,25090.0,1.242630394,1.885513485,2019104.0,MALE
555,Rajasthan,CHURU,HARI SINGH,BSP,Elephant,0,GENERAL,12th Pass,18103000,795000,0.0,57.0,16059.0,57.0,16116.0,0.798175825,1.21111739,2019104.0,MALE
556,Tamil Nadu,COIMBATORE,NATARAJAN. P.R,CPI(M),"Hammer, Sickle and Star",1,GENERAL,12th Pass,20284430,3234168,1.0,68.0,567741.0,3409.0,571150.0,29.15661002,45.65806692,1958904.0,MALE
557,Tamil Nadu,COIMBATORE,RADHAKRISHNAN. C.P,BJP,Lotus,0,GENERAL,Graduate,671140166,23686000,0.0,61.0,390823.0,1184.0,392007.0,20.01154727,31.33727014,1958904.0,MALE
558,Tamil Nadu,COIMBATORE,MAHENDRAN. R,MNM,Battery Torch,0,GENERAL,Post Graduate,1333052340,115756111,0.0,55.0,144808.0,296.0,145104.0,7.407407407,11.5996991,1958904.0,MALE
559,Tamil Nadu,COIMBATORE,KALYANA SUNDARAM. S,NTK,Ganna Kisan,0,GENERAL,Post Graduate,855083,0,0.0,36.0,60391.0,128.0,60519.0,3.089431641,4.837924455,1958904.0,MALE
560,Tamil Nadu,COIMBATORE,APPATHURAI. N.R.,IND,Gift Pack,3,GENERAL,12th Pass,300815900,3555000,0.0,68.0,37989.0,72.0,38061.0,1.942974235,3.042618726,1958904.0,MALE
562,West Bengal,COOCH BEHAR,NISITH PRAMANIK,BJP,Lotus,11,SC,8th Pass,9629810,0,1.0,33.0,728634.0,2960.0,731594.0,40.3259839,47.9593509,1814200.0,MALE
563,West Bengal,COOCH BEHAR,ADHIKARY PARESH CHANDRA,AITC,Flowers and Grass,0,SC,12th Pass,41775148,4120964,0.0,66.0,676339.0,1024.0,677363.0,37.33673244,44.40425948,1814200.0,MALE
564,West Bengal,COOCH BEHAR,GOBINDA CHANDRA ROY,AIFB,Lion,2,SC,Post Graduate,4644800,400000,0.0,61.0,46648.0,162.0,46810.0,2.580200639,3.068610754,1814200.0,MALE
565,West Bengal,COOCH BEHAR,PIYA ROY CHOWDHURY,INC,Hand,0,SC,Post Graduate,7263933,547297,0.0,38.0,28087.0,128.0,28215.0,1.555230956,1.849622996,1814200.0,FEMALE
566,Tamil Nadu,CUDDALORE,T. R. V .S. RAMESH,DMK,Rising Sun,0,GENERAL,Graduate Professional,423378552,102828604,1.0,48.0,519594.0,2566.0,522160.0,38.28045846,50.04504591,1364038.0,MALE
